lns,lnk,s,k,k^0.5,y,Y,K/Ye,ke,vark,Ye/Y
-1.1591,0.1013,0.313768445,1.106608575,1.051954645,0.330070174,,,,,
-0.1422,-2.1366,0.86744775,0.11805555,0.343592128,0.298048218,,,,,
0.2082,0.7386,1.231459437,2.093003258,1.446721555,1.781578911,,,,,
0.1525,-0.0515,1.164742462,0.94980365,0.974578704,1.135133199,,,,,
0.1076,0.2455,1.113602215,1.278260284,1.130601735,1.259040597,,,,,
0.2783,-1.5591,1.320882402,0.210325279,0.45861234,0.60577297,,,,,
0.3562,1.6924,1.427893098,5.432503079,2.330773065,3.328094773,,,,,
-1.1069,-1.2827,0.330582179,0.277287612,0.52658106,0.174078314,,,,,
-0.0974,0.7988,0.907193056,2.222871881,1.490929871,1.352561227,,,,,
-1.4299,1.1924,0.239332854,3.294979677,1.815207888,0.434438885,,,,,
-1.8714,-1.8025,0.15390804,0.164886157,0.406061765,0.06249617,,,,,
-0.9509,0.408,0.386393113,1.503807161,1.226298153,0.473833161,,,,,
0.0355,-0.1808,1.036137648,0.834602262,0.913565686,0.946579801,,,,,
0.419,-1.1121,1.520440355,0.328867613,0.573469802,0.871926629,,,,,
-2.113,-1.0694,0.120874798,0.343214384,0.585845017,0.070813898,,,,,
-0.1967,-0.9466,0.821437027,0.388058181,0.62294316,0.511708578,,,,,
-1.8241,0.8184,0.161362805,2.266869942,1.505612813,0.242949907,,,,,
0.4438,-1.6077,1.558618731,0.200347885,0.447602373,0.697641443,,,,,
0.8868,-0.3749,2.427349691,0.687358011,0.829070571,2.012444194,,,,,
-0.5965,-2.4794,0.550735842,0.083793487,0.289471046,0.15942208,,,,,
-0.5159,0.9407,0.596963086,2.561774033,1.600554289,0.955471828,,,,,
0.1503,-0.2443,1.162182845,0.783252623,0.885015606,1.028549955,,,,,
0.1697,-0.0578,1.184949313,0.943838696,0.971513611,1.151194386,,,,,
0.5297,-1.4717,1.698422705,0.229534944,0.479098053,0.81371101,,,,,
-1.8079,0.2328,0.163998172,1.262129028,1.12344516,0.184242952,,,,,
0.8753,-2.1341,2.399595065,0.118351058,0.344021887,0.825513221,,,,,
-0.2141,-2.3078,0.807267654,0.099479867,0.315404291,0.254615682,,,,,
0.4725,1.4046,1.603999183,4.073896857,2.018389669,3.23749538,,,,,
-0.5643,-0.4125,0.568758138,0.661993197,0.813629643,0.462758481,,,,,
-0.8388,-0.131,0.432228887,0.877217774,0.936599047,0.404825164,,,,,
-0.778,0.5699,0.459323741,1.768090234,1.329695542,0.61076073,,,,,
-0.8848,-0.9613,0.412796724,0.382395449,0.618381313,0.255265781,,,,,
0.2635,-0.2976,1.301477295,0.74259832,0.861741446,1.121536926,,,,,
1.1582,-1.6952,3.184196561,0.183562513,0.42844196,1.364243415,,,,,
0.325,-2.9931,1.384030646,0.050131787,0.223901289,0.309886245,,,,,
-0.0368,-0.222,0.96386889,0.800915364,0.894938749,0.862603618,,,,,
-0.7655,0.5266,0.465101322,1.693165747,1.301217026,0.605197759,,,,,
-0.8807,-0.9955,0.414492665,0.369538629,0.60789689,0.251968802,,,,,
-0.0878,-0.1921,0.915944047,0.825224342,0.908418594,0.832060604,,,,,
0.493,0.0589,1.637220521,1.060669169,1.02988794,1.68615367,,,,,
0.0203,-2.1101,1.020507446,0.121225843,0.348175018,0.355315199,,,,,
0.2694,-1.9912,1.309178708,0.136531489,0.369501677,0.483743728,,,,,
0.6981,-1.8149,2.00993021,0.162854193,0.403551971,0.811111297,,,,,
-1.5579,-1.247,0.210577821,0.287365602,0.536064923,0.112883383,,,,,
-1.8374,-1.0254,0.159230889,0.358652976,0.598876428,0.095359626,,,,,
-1.313,-0.1014,0.269011809,0.903571532,0.950563797,0.255712887,,,,,
-1.473,-1.3505,0.229236742,0.259110673,0.509029147,0.116688184,,,,,
-0.8321,-1.6409,0.435134544,0.193805539,0.440233505,0.191560805,,,,,
-0.2915,0.0985,0.747142014,1.103514404,1.050482939,0.784859938,,,,,
0.1498,-1.8978,1.161601899,0.149898032,0.387166673,0.449733542,,,,,
-1.7378,-0.2537,0.175906971,0.775924544,0.880865793,0.154950433,,,,,
-0.4027,-0.9674,0.668512623,0.380069936,0.616498124,0.412136778,,,,,
-1.0673,-2.0777,0.343935892,0.125217882,0.353861389,0.121705632,,,,,
-0.7215,-0.2596,0.486022675,0.771360068,0.878271068,0.426859654,,,,,
-0.4606,-1.4076,0.630904989,0.244729931,0.49470186,0.312109872,,,,,
-1.7133,-1.2937,0.180269919,0.274254163,0.523692814,0.094406061,,,,,
-0.0184,-0.2397,0.981768247,0.786863885,0.887053485,0.870880944,,,,,
-0.0311,-0.6513,0.96937863,0.521367558,0.722057863,0.699947463,,,,,
-0.2521,-1.0154,0.777167017,0.362257498,0.601878308,0.46775997,,,,,
-0.7152,-0.3631,0.489094283,0.695516878,0.833976545,0.407893161,,,,,
-0.1757,-0.8962,0.838869606,0.408117564,0.638840797,0.535904128,,,,,
1.8347,-1.68,6.263254887,0.186373976,0.431710523,2.703913046,,,,,
-0.6898,-1.2737,0.501676394,0.279794465,0.528956014,0.265364746,,,,,
0.2265,-0.3608,1.25420261,0.697118408,0.83493617,1.047179124,,,,,
0.1986,-0.2036,1.219693991,0.815788621,0.903210176,1.101640024,,,,,
0.7159,-0.9222,2.046027278,0.397643263,0.630589615,1.290203554,,,,,
-1.0706,-0.122,0.342802774,0.885148369,0.94082324,0.322516816,,,,,
-0.0198,-1.3416,0.980394733,0.26142705,0.511299375,0.501275214,,,,,
-2.1861,-0.4572,0.112354076,0.633053717,0.795646729,0.089394153,,,,,
-0.8094,1.729,0.445125061,5.635016074,2.37381888,1.056646274,,,,,
-2.1115,-0.5521,0.121056246,0.575739487,0.758774991,0.091854452,,,,,
-1.9173,-0.3523,0.147003336,0.70306917,0.8384922,0.12326115,,,,,
-0.5308,0.1881,0.588134274,1.206954205,1.098614675,0.646132944,,,,,
1.1719,-0.2359,3.228120244,0.789859656,0.888740489,2.868961163,,,,,
-1.7728,-1.9362,0.169856724,0.144251064,0.379803981,0.06451226,,,,,
0.3466,-0.0773,1.414250912,0.925612128,0.962087381,1.360632956,,,,,
-0.1571,-1.9732,0.854618593,0.139011308,0.372842202,0.318637878,,,,,
0.1487,0.0155,1.16032484,1.015620748,1.007780109,1.169352293,,,,,
-0.6216,-1.6163,0.537084415,0.198632281,0.445681815,0.239368757,,,,,
-1.4503,-2.7329,0.234499928,0.065030428,0.255010642,0.059799977,,,,,
0.1548,-0.6512,1.167424453,0.521419698,0.722093967,0.842990155,,,,,
-1.0163,-1.1546,0.361931613,0.315183585,0.561412135,0.203192799,,,,,
-1.8735,-1.4977,0.153585172,0.22364395,0.472910087,0.072631977,,,,,
-1.7505,-0.636,0.173687078,0.529405818,0.727602788,0.126375202,,,,,
-0.266,-1.5714,0.766439128,0.207754123,0.45580053,0.34934336,,,,,
-0.4526,0.7111,0.635972472,2.03622988,1.426965269,0.907510629,,,,,
-1.0033,-1.5844,0.36666744,0.205070799,0.452847434,0.166044409,,,,,
-0.4905,-0.7312,0.612320158,0.481331046,0.693780258,0.424815637,,,,,
-0.8651,-1.6984,0.42100945,0.182976052,0.427757001,0.180089739,,,,,
-0.0285,-1.8268,0.971902294,0.160927713,0.401157966,0.389886347,,,,,
-0.1108,-0.1338,0.895117755,0.874765,0.935288726,0.837193544,,,,,
-0.3779,-1.0335,0.685299027,0.35575962,0.596455883,0.408750636,,,,,
0.8866,0.0397,2.42686427,1.040498578,1.020048321,2.475518824,,,,,
-0.6858,-0.2415,0.503687119,0.785448804,0.886255496,0.446395477,,,,,
0.3767,-0.7056,1.457467004,0.493812198,0.702717723,1.024187894,,,,,
-1.3258,0.6792,0.265590402,1.972299262,1.404385724,0.372991369,,,,,
-0.0934,0.4848,0.910829096,1.623850206,1.274303812,1.160672989,,,,,
0.4667,-0.8658,1.594722915,0.420714846,0.648625351,1.03437771,,,,,
-1.3215,-0.9609,0.266734899,0.382548437,0.618505002,0.164976869,,,,,
-2.5903,-0.8778,0.074997537,0.415696439,0.644745251,0.048354306,,,,,
-0.2084,-0.512,0.811882219,0.599295788,0.774141969,0.628512099,,,,,
-0.3018,-1.5392,0.739485947,0.214552675,0.463198311,0.342528641,,,,,
1.076,0.9717,2.932924359,2.642432779,1.625556145,4.767633213,,,,,
-1.8402,1.1248,0.158785666,3.079600867,1.75487916,0.278649656,,,,,
1.3218,-1.579,3.750165604,0.206181176,0.454071774,1.70284435,,,,,
0.0698,-1.1043,1.072293701,0.331442811,0.575710701,0.617330958,,,,,
-1.1053,-0.5976,0.331111534,0.550130366,0.741707736,0.245587986,,,,,
0.4187,0.1639,1.519984291,1.1780965,1.085401538,1.649793288,,,,,
-0.8704,0.5306,0.418784002,1.699951974,1.303822064,0.546019822,,,,,
0.567,-0.1017,1.7629702,0.903300501,0.950421223,1.675564293,,,,,
-1.8626,-1.3372,0.155268407,0.262579864,0.512425472,0.079563487,,,,,
-1.4572,-1.4497,0.232887448,0.23464067,0.484397223,0.112810033,,,,,
-0.1714,-0.2293,0.842484512,0.795089971,0.891678177,0.751225054,,,,,
-1.0271,0.1137,0.358043783,1.12041595,1.058497024,0.378988279,,,,,
-0.3952,-0.2288,0.673545317,0.795487615,0.891901124,0.600735825,,,,,
-1.0967,1.2163,0.333971373,3.374678296,1.837029748,0.613515347,,,,,
-0.7043,-2.7353,0.494454571,0.064874542,0.254704813,0.125939959,,,,,
-0.3693,-0.4589,0.691218014,0.63197844,0.794970716,0.54949808,,,,,
-0.3874,-1.3672,0.678819513,0.254819456,0.50479645,0.34266568,,,,,
-1.2457,0.5591,0.28773942,1.749097604,1.322534538,0.380545321,,,,,
-0.518,-1.3283,0.595710779,0.264927255,0.514710846,0.306618799,,,,,
-0.7641,-1.7234,0.46575292,0.178458357,0.422443318,0.196754209,,,,,
0.5209,-0.6416,1.683542156,0.526449431,0.72556835,1.221524905,,,,,
1.0563,-1.4293,2.875711149,0.239476497,0.489363359,1.407267668,,,,,
-0.2325,-0.7141,0.792549749,0.489632583,0.69973751,0.554576788,,,,,
-0.3422,-0.9522,0.710206149,0.385891128,0.621201359,0.441181025,,,,,
0.351,-2.357,1.420487326,0.094703909,0.307740003,0.437140773,,,,,
-0.5243,0.1314,0.591969598,1.14042386,1.067906297,0.632168062,,,,,
-1.3268,-1.1204,0.265324944,0.326149309,0.571094833,0.151525705,,,,,
0.4321,-0.6837,1.540489156,0.504745973,0.710454765,1.094447861,,,,,
1.1154,-3.654,3.05078825,0.025887372,0.160895531,0.490858196,,,,,
1.3942,-1.4106,4.031747884,0.243996841,0.493960364,1.991523652,,,,,
-0.313,-1.7275,0.731249913,0.177728175,0.421578196,0.308279019,,,,,
0.6157,-1.2744,1.850951812,0.279598677,0.528770912,0.978729477,,,,,
-0.5455,-0.6836,0.579551935,0.50479645,0.710490289,0.411766021,,,,,
0.491,-2.0856,1.633949353,0.124232558,0.352466393,0.575912235,,,,,
-0.7798,0.8781,0.458497702,2.406323346,1.551232847,0.711236695,,,,,
0.4944,0.1883,1.639514235,1.20719562,1.098724542,1.801374528,,,,,
0.3958,0.914,1.485572173,2.494279725,1.579328884,2.346207043,,,,,
-0.6621,-1.15,0.515767086,0.316636769,0.562704869,0.29022465,,,,,
-0.8914,-1.9885,0.410081237,0.136900622,0.370000841,0.151730403,,,,,
-1.122,0.688,0.325627887,1.989732087,1.410578636,0.459323741,,,,,
-0.6106,-0.5118,0.543024956,0.599415659,0.774219387,0.420420449,,,,,
0.726,-2.2207,2.066796864,0.108533109,0.329443636,0.680893073,,,,,
0.069,0.2481,1.071436209,1.281588085,1.132072473,1.212943439,,,,,
0.2064,0.8582,1.229244804,2.35891083,1.535874614,1.887965888,,,,,
0.8719,-0.8836,2.391450295,0.413292378,0.642878198,1.537411257,,,,,
-0.4751,1.2024,0.621822871,3.328094773,1.824306655,1.134395602,,,,,
-0.2433,-1.0533,0.784036268,0.348784858,0.590580103,0.46303622,,,,,
-2.1411,-0.1377,0.117525494,0.871360061,0.93346669,0.109706134,,,,,
-0.5505,-2.4521,0.576661408,0.08611256,0.293449417,0.169220954,,,,,
-0.4124,-1.9605,0.662059399,0.140788009,0.375217283,0.248416129,,,,,
0.4404,-0.9152,1.553328426,0.400436531,0.632800546,0.982947076,,,,,
0.2189,0.1702,1.2447068,1.185541936,1.088825944,1.355269056,,,,,
-2.0438,-0.4629,0.129535539,0.629455575,0.793382364,0.102771212,,,,,
-0.1933,-1.4282,0.824234667,0.239740066,0.489632583,0.403572149,,,,,
-0.5756,-1.6768,0.562367347,0.186971328,0.432401813,0.243168661,,,,,
-0.6126,-1.7489,0.541939992,0.1739652,0.417091357,0.226038486,,,,,
-1.906,-0.4009,0.148673894,0.669717029,0.818362407,0.121669126,,,,,
-0.6583,-0.7826,0.517730729,0.457215704,0.676177272,0.350077752,,,,,
0.8498,-0.5875,2.339178969,0.555714837,0.745462834,1.743770983,,,,,
-0.3997,-1.3328,0.670521172,0.263737761,0.513554049,0.344348863,,,,,
-1.199,-0.3253,0.301495557,0.722310628,0.849888597,0.256237636,,,,,
0.0044,-1.7843,1.004409694,0.16791456,0.409773791,0.411580768,,,,,
0.1432,-1.3409,1.153960571,0.261610113,0.511478361,0.590225861,,,,,
-0.9184,-0.6159,0.399157182,0.540154537,0.734952065,0.293361395,,,,,
0.2887,-2.6568,1.334691261,0.070172415,0.264900764,0.353560734,,,,,
-1.2853,0.988,0.276567601,2.685857382,1.638858561,0.45325518,,,,,
0.8726,1.4244,2.393124896,4.155363876,2.038470965,4.878315618,,,,,
-1.1821,-0.3164,0.30663413,0.728767885,0.853679029,0.261767127,,,,,
-1.4488,-1.2844,0.234851941,0.276816624,0.526133656,0.123563511,,,,,
0.281,0.6396,1.324453604,1.895722439,1.376852366,1.823577079,,,,,
0.8526,-1.8395,2.345737849,0.158896855,0.398618683,0.935054933,,,,,
-0.2394,-0.0356,0.787099979,0.965026227,0.982357484,0.773213556,,,,,
-0.8041,-0.2035,0.447490487,0.815870204,0.903255337,0.404198171,,,,,
-0.3935,0.8159,0.674691318,2.261209846,1.503731973,1.014554906,,,,,
-0.8027,-1.8958,0.448117412,0.150198128,0.387554033,0.17366971,,,,,
0.567,-2.2273,1.7629702,0.107819149,0.328358263,0.578885833,,,,,
-0.81,-0.0802,0.444858066,0.922931742,0.960693365,0.427372193,,,,,
1.3669,1.2073,3.923169998,3.344442456,1.828781686,7.174621445,,,,,
-0.7818,-1.67,0.457581623,0.188247066,0.433874481,0.198532989,,,,,
0.0813,-0.53,1.084696257,0.58860497,0.76720595,0.832185422,,,,,
0.0053,1.1477,1.00531407,3.150937413,1.775088001,1.784520943,,,,,
0.086,0.6596,1.089806328,1.934018572,1.390689963,1.515582722,,,,,
0.4551,-0.9075,1.576331008,0.403531794,0.635241524,1.001350912,,,,,
-1.3675,-0.6706,0.254743022,0.511401645,0.715123517,0.182172726,,,,,
-1.011,0.8236,0.363854943,2.278688367,1.5095325,0.549250861,,,,,
-1.0413,-1.2736,0.352995489,0.279822446,0.528982462,0.186728423,,,,,
-2.1594,0.0387,0.115394337,1.039458599,1.019538425,0.11764896,,,,,
0.176,0.1539,1.192438059,1.166374244,1.079988076,1.287818884,,,,,
-1.3418,-1.7826,0.26137477,0.168200258,0.410122247,0.107195608,,,,,
-0.565,-0.4636,0.568360147,0.62901511,0.793104728,0.45076912,,,,,
-0.6461,-3.4671,0.524085731,0.031207401,0.176656166,0.092582976,,,,,
-0.7857,-0.6147,0.45580053,0.540803112,0.735393168,0.335192596,,,,,
-0.3271,-0.0009,0.721011638,0.999100405,0.999550101,0.720687256,,,,,
-0.7332,0.0423,0.480369346,1.043207394,1.021375246,0.490637359,,,,,
0.3063,1.0422,1.358389762,2.835448144,1.683878898,2.287363856,,,,,
0.2091,-0.4888,1.232568249,0.613361987,0.783174302,0.965315778,,,,,
-1.0421,0.4116,0.352713206,1.509230623,1.228507478,0.433310811,,,,,
-1.606,-0.8913,0.200688766,0.410122247,0.640407876,0.128522666,,,,,
0.0493,1.8037,1.050535464,6.072072621,2.464157589,2.588684936,,,,,
-0.5268,-0.4395,0.590491522,0.64435852,0.802719453,0.473999032,,,,,
0.036,0.6563,1.036655846,1.92764683,1.388397216,1.439290091,,,,,
-0.7924,-0.0636,0.452756874,0.938380277,0.968700303,0.438585721,,,,,
-0.5274,-0.3401,0.590137334,0.711699149,0.843622634,0.497853212,,,,,
-0.6491,-1.8128,0.522515829,0.163196546,0.403975923,0.211083814,,,,,
0.3268,-0.8937,1.386524145,0.409139134,0.639639847,0.886876092,,,,,
0.6067,-0.2776,1.834367985,0.757599801,0.870402091,1.596637731,,,,,
-0.3642,-0.9663,0.69475223,0.380488243,0.616837291,0.428549084,,,,,
-0.9353,-1.2201,0.392468107,0.295200645,0.543323702,0.213237225,,,,,
1.3382,-1.3059,3.81217541,0.27092859,0.520508011,1.98426784,,,,,
0.3296,0.9531,1.390411852,2.593737796,1.610508552,2.239270179,,,,,
0.648,0.4668,1.911713576,1.594882395,1.262886533,2.41427733,,,,,
-0.6982,1.1647,0.497479962,3.204961251,1.790240557,0.890608805,,,,,
0.9917,-1.2541,2.695813462,0.285332532,0.534165267,1.440009916,,,,,
-1.1444,-1.6633,0.318414909,0.189512556,0.435330398,0.138615689,,,,,
-0.0101,-3.1828,0.989950834,0.041469378,0.203640316,0.2015939,,,,,
-0.5235,-0.756,0.592443363,0.469540839,0.685230501,0.405960262,,,,,
0.3255,-0.8693,1.384722834,0.419244918,0.647491249,0.896595918,,,,,
-0.0584,-1.8414,0.943272563,0.158595237,0.398240175,0.375649031,,,,,
-0.0439,-0.5067,0.957049658,0.602480488,0.776196166,0.742858275,,,,,
0.3328,0.7107,1.394868297,2.035415551,1.426679905,1.990030569,,,,,
1.069,-0.764,2.912465578,0.465799498,0.682495053,1.987743349,,,,,
-1.2579,-1.0239,0.284250326,0.359191359,0.599325753,0.170358541,,,,,
0.303,-0.7375,1.353914464,0.478308193,0.691598288,0.936364926,,,,,
-0.1441,0.5511,0.865801164,1.735160645,1.317254966,1.140480882,,,,,
-2.0611,-1.6439,0.127313848,0.193224993,0.43957365,0.055963813,,,,,
-0.3098,0.2032,0.73359366,1.225317507,1.106940607,0.812044612,,,,,
-0.2314,-1.2286,0.793422034,0.292702074,0.541019476,0.429256773,,,,,
0.277,-1.2496,1.319166371,0.286619422,0.535368492,0.70624011,,,,,
-1.0786,-1.3503,0.340071292,0.2591625,0.509080053,0.173123511,,,,,
-0.1361,-0.9222,0.872755353,0.397643263,0.630589615,0.550350462,,,,,
-2.2456,-1.7553,0.105864003,0.172855378,0.415758798,0.044013891,,,,,
-2.0655,-0.2741,0.126754897,0.760256046,0.871926629,0.11052097,,,,,
-0.569,-0.8746,0.566091247,0.417028798,0.645777669,0.365569086,,,,,
-0.3668,-1.43,0.692948221,0.239308922,0.489192112,0.338984804,,,,,
0.5741,-0.5986,1.775531829,0.54958051,0.741336975,1.316267395,,,,,
0.9683,0.8019,2.633463763,2.229773476,1.493242605,3.932400289,,,,,
-1.2618,-0.8294,0.283143908,0.436310994,0.660538413,0.187027428,,,,,
1.6989,-0.4079,5.46792936,0.66504538,0.815503145,4.459113592,,,,,
-0.1019,-0.79,0.903119859,0.453844795,0.673680039,0.608413822,,,,,
0.0141,-0.3848,1.014199874,0.68058674,0.824976812,0.836691378,,,,,
0.1032,-0.9089,1.10871313,0.402967244,0.63479701,0.70380778,,,,,
0.1474,-1.4288,1.158817397,0.239596265,0.489485715,0.567224562,,,,,
-0.2043,-1.023,0.815217769,0.359514776,0.599595511,0.488800915,,,,,
-1.5098,-1.1428,0.220954164,0.318924781,0.564734257,0.124780386,,,,,
0.3042,-1.6586,1.355540137,0.190405361,0.436354628,0.591496212,,,,,
-1.1033,-2.5352,0.33177442,0.079245869,0.281506427,0.093396631,,,,,
-1.6404,-1.5276,0.193902466,0.217055977,0.465892667,0.090337737,,,,,
0.2779,-0.077,1.320354155,0.925889854,0.962231705,1.27048663,,,,,
-1.4345,0.1692,0.238234451,1.184356987,1.088281667,0.259266186,,,,,
0.2034,-1.4598,1.225562595,0.232282727,0.481957183,0.590668696,,,,,
-1.4758,-0.3416,0.228595777,0.710632401,0.842990155,0.19270399,,,,,
-0.5567,-0.533,0.573097167,0.586841801,0.766056004,0.439024526,,,,,
-0.222,-1.0698,0.800915364,0.343077126,0.58572786,0.469118442,,,,,
-1.096,-1.2976,0.334205235,0.273186655,0.522672608,0.174679921,,,,,
0.0664,0.4291,1.068654093,1.535874614,1.239304085,1.324387383,,,,,
0.9115,-0.7455,2.488051813,0.474496992,0.688837421,1.713863194,,,,,
0.4164,-2.151,1.516492345,0.116367732,0.341127149,0.51731671,,,,,
-0.3057,-3.7625,0.736607569,0.023225604,0.152399487,0.112258616,,,,,
0.1064,1.1457,1.112266694,3.144641836,1.773313801,1.972397879,,,,,
-0.0907,-2.2446,0.913291657,0.10596992,0.325530213,0.297304028,,,,,
-1.8701,1.7575,0.15410825,5.79792445,2.407887965,0.371075401,,,,,
-1.6155,0.0973,0.19879125,1.102190981,1.049852838,0.208701558,,,,,
-2.5471,-1.182,0.078308431,0.306664795,0.553773235,0.043365113,,,,,
-0.1753,0.9705,0.839205221,2.639263761,1.624581103,1.363356945,,,,,
-0.1205,0.2838,0.886477087,1.328167271,1.152461397,1.021630622,,,,,
-0.6546,0.4611,0.519649881,1.585817425,1.25929243,0.654391162,,,,,
-1.8594,-1.0812,0.155766062,0.339188255,0.582398708,0.090717953,,,,,
0.7561,-2.8376,2.129953184,0.058566056,0.242004248,0.515457718,,,,,
-0.902,0.8454,0.405757333,2.328909192,1.526076404,0.619216692,,,,,
-0.0686,-0.7229,0.933700085,0.485342719,0.696665428,0.65047657,,,,,
-0.4196,-0.0099,0.657309691,0.990148844,0.995062231,0.654064048,,,,,
1.3326,-2.2485,3.790886891,0.105557442,0.324896048,1.23164417,,,,,
0.0738,1.7088,1.076591466,5.522330703,2.349963979,2.529951165,,,,,
0.0899,0.3754,1.094064872,1.455573528,1.20647152,1.319958108,,,,,
-1.2517,-1.2175,0.286018152,0.295969166,0.544030482,0.155602593,,,,,
-0.4538,-1.7567,0.635209762,0.17261355,0.415467868,0.263909246,,,,,
-0.9803,0.1698,0.375198522,1.185067814,1.0886082,0.408444188,,,,,
-0.8083,-1.4881,0.445614968,0.225801271,0.475185512,0.211749777,,,,,
-3.1218,-1.231,0.044077757,0.292000431,0.540370642,0.023818326,,,,,
-1.0872,-0.7502,0.337159219,0.472272089,0.687220553,0.231702745,,,,,
-1.3284,0.2454,0.264900764,1.278132464,1.130545207,0.299482289,,,,,
0.8485,0.1755,2.336140012,1.191841989,1.091715159,2.550399465,,,,,
-0.7765,-1.204,0.460013243,0.299991841,0.54771511,0.251956204,,,,,
-0.1562,-0.537,0.855388096,0.584499122,0.764525423,0.653965945,,,,,
-0.0055,-1.3348,0.994515097,0.263210812,0.513040751,0.510226773,,,,,
0.774,0.4007,2.16842262,1.492869341,1.221830324,2.649444512,,,,,
0.0252,1.5534,1.025520204,4.727516444,2.174285272,2.229773476,,,,,
-0.0393,0.6928,0.961462227,1.999305759,1.41396809,1.359476909,,,,,
1.6707,1.0446,5.315887616,2.842261392,1.685900766,8.962059003,,,,,
